filter_id,variant,expression,layman_explanation,stat,source,layman
0F681,tens,(winner < 7),Eliminate based on a custom tens-digit condition.,4/311,keeper,Eliminate if condition holds: (winner < 7)
0F682,tens,(winner < 14),Eliminate based on a custom tens-digit condition.,101/311,keeper,Eliminate if condition holds: (winner < 14)
0F684,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F686,tens,(winner < 13),Eliminate based on a custom tens-digit condition.,76/311,keeper,Eliminate if condition holds: (winner < 13)
0F687,tens,(winner < 11),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner < 11)
0F689,tens,(winner < 7),Eliminate based on a custom tens-digit condition.,4/311,keeper,Eliminate if condition holds: (winner < 7)
0F691,tens,(winner < 9),Eliminate based on a custom tens-digit condition.,16/311,keeper,Eliminate if condition holds: (winner < 9)
0F693,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F694,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
0F696,tens,(winner < 19),Eliminate based on a custom tens-digit condition.,232/311,keeper,Eliminate if condition holds: (winner < 19)
0F697,tens,(winner > 31),Eliminate if the tens sum is greater than 31.,0/311,keeper,Eliminate if condition holds: (winner > 31)
0F699,tens,(winner < 8),Eliminate based on a custom tens-digit condition.,11/311,keeper,Eliminate if condition holds: (winner < 8)
0F700,tens,(winner < 11),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner < 11)
0F702,tens,(winner < 15),Eliminate based on a custom tens-digit condition.,133/311,keeper,Eliminate if condition holds: (winner < 15)
0F704,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
0F706,tens,(winner < 19),Eliminate based on a custom tens-digit condition.,232/311,keeper,Eliminate if condition holds: (winner < 19)
0F710,tens,(winner < 16),Eliminate based on a custom tens-digit condition.,165/311,keeper,Eliminate if condition holds: (winner < 16)
0F712,tens,(winner < 14),Eliminate based on a custom tens-digit condition.,101/311,keeper,Eliminate if condition holds: (winner < 14)
0F713,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F716,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,15/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 2)
105F552,tens,"(not any(mirror.get(d,None) in combo_digits for d in combo_digits) and max(combo_digits) - min(combo_digits) <= 4)",Eliminate if the spread (highest - lowest digit) is less than 4 and the tens sum equals 5.,3/311,keeper,"Eliminate based on mirror digit relationship ((not any(mirror.get(d,None) in combo_digits for d in combo_digits) and max(combo_digits) - min(combo_digits) <= 4))"
10F210,tens,(winner <13 or winner >35),Eliminate if the tens sum is greater than 35.,76/311,keeper,Eliminate if condition holds: (winner <13 or winner >35)
10F214,tens,(not any(v in combo_vtracs for v in seed_vtracs)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (not any(v in combo_vtracs for v in seed_vtracs))
10F310,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <15 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,13/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <15 and winner_structure == 5 and winner_structure == 5)
113F223,tens,(5 not in combo_digits and 6 not in combo_digits),Eliminate based on a custom tens-digit condition.,18/311,keeper,Eliminate if condition holds: (5 not in combo_digits and 6 not in combo_digits)
114F219,tens,(4 not in combo_digits and 5 not in combo_digits),Eliminate based on a custom tens-digit condition.,20/311,keeper,Eliminate if condition holds: (4 not in combo_digits and 5 not in combo_digits)
114F246,tens,(5 not in combo_digits and 4 not in combo_digits),Eliminate based on a custom tens-digit condition.,20/311,keeper,Eliminate if condition holds: (5 not in combo_digits and 4 not in combo_digits)
116F195,tens,(2 not in combo_digits and 4 not in combo_digits),Eliminate based on a custom tens-digit condition.,14/311,keeper,Eliminate if condition holds: (2 not in combo_digits and 4 not in combo_digits)
11F194,tens,(winner <11 or winner >33),Eliminate if the tens sum is greater than 33.,42/311,keeper,Eliminate if condition holds: (winner <11 or winner >33)
11F212,tens,(winner <11 or winner >33),Eliminate if the tens sum is greater than 33.,42/311,keeper,Eliminate if condition holds: (winner <11 or winner >33)
11F342,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<13 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<13 and winner_structure == 5 and winner_structure == 5)
123F328,tens,(winner<20 or winner>28),Eliminate based on a custom tens-digit condition.,263/311,keeper,Eliminate if condition holds: (winner<20 or winner>28)
128F222,tens,(2 not in combo_digits and 1 not in combo_digits),Eliminate based on a custom tens-digit condition.,18/311,keeper,Eliminate if condition holds: (2 not in combo_digits and 1 not in combo_digits)
12F557,tens,"(sorted(Counter(combo_digits).values()) == [1, 2, 2] and len(set(combo_digits)) == 3 and all(d not in mirror.values() for d in combo_digits) and (max(combo_digits) - min(combo_digits) <= 4))",Eliminate if the spread (highest - lowest digit) is less than 4 and the tens sum equals 5.,0/311,keeper,"Eliminate based on mirror digit relationship ((sorted(Counter(combo_digits).values()) == [1, 2, 2] and len(set(combo_digits)) == 3 and all(d not in mirror.values() for d in combo_digits) and (max(combo_digits) - min(combo_digits) <= 4)))"
132F197,tens,(3 not in combo_digits and 4 not in combo_digits),Eliminate based on a custom tens-digit condition.,12/311,keeper,Eliminate if condition holds: (3 not in combo_digits and 4 not in combo_digits)
138F561,tens,(len(set(combo_digits).intersection(seed_digits)) == 1 and sum(d <= 4 for d in combo_digits) < 3),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) == 1 and sum(d <= 4 for d in combo_digits) < 3)
13F558,tens,"(sorted(Counter(combo_digits).values()) == [1, 1, 3] and any(d in mirror.values() for d in combo_digits) and sum(d <= 4 for d in combo_digits) < 4)",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((sorted(Counter(combo_digits).values()) == [1, 1, 3] and any(d in mirror.values() for d in combo_digits) and sum(d <= 4 for d in combo_digits) < 4))"
142F213,tens,(winner <25 and sum(1 for d in combo_digits if d in seed_digits) >=3),Eliminate based on a custom tens-digit condition.,306/311,keeper,Eliminate if condition holds: (winner <25 and sum(1 for d in combo_digits if d in seed_digits) >=3)
14F349,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<11 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<11 and winner_structure == 5 and winner_structure == 5)
15F247,tens,(winner<12 or winner>20),Eliminate based on a custom tens-digit condition.,86/311,keeper,Eliminate if condition holds: (winner<12 or winner>20)
16F341,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<14 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<14 and winner_structure == 5 and winner_structure == 5)
16F534,tens,((0 <= seed <= 15) and (34 <= winner <= 45)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: ((0 <= seed <= 15) and (34 <= winner <= 45))
17F325,tens,(all(d%2 for d in combo_digits)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (all(d%2 for d in combo_digits))
18F258,tens,(not (12<=winner<=20)),Eliminate based on a custom tens-digit condition.,86/311,keeper,Eliminate if condition holds: (not (12<=winner<=20))
18F334,tens,(winner<12 or winner>20),Eliminate based on a custom tens-digit condition.,86/311,keeper,Eliminate if condition holds: (winner<12 or winner>20)
18F348,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<12 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,6/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<12 and winner_structure == 5 and winner_structure == 5)
18F533,tens,((34 <= seed <= 45) and (34 <= winner <= 45)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: ((34 <= seed <= 45) and (34 <= winner <= 45))
18F537,tens,((34 <= seed <= 45) and (0 <= winner <= 15)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: ((34 <= seed <= 45) and (0 <= winner <= 15))
18F542,tens,(winner_structure == 3),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner_structure == 3)
19F352,tens,(sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<11and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<11and winner_structure == 5 and winner_structure == 5)
1F192,tens,(winner <8 or winner >29),Eliminate if the tens sum is greater than 29.,11/311,keeper,Eliminate if condition holds: (winner <8 or winner >29)
1F193,tens,(winner <10 or winner >30),Eliminate if the tens sum is greater than 30.,26/311,keeper,Eliminate if condition holds: (winner <10 or winner >30)
1F206,tens,(winner <8 or winner >29),Eliminate if the tens sum is greater than 29.,11/311,keeper,Eliminate if condition holds: (winner <8 or winner >29)
1F208,tens,(winner <10 or winner >30),Eliminate if the tens sum is greater than 30.,26/311,keeper,Eliminate if condition holds: (winner <10 or winner >30)
1F229,tens,(winner==38 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==38 and seed<30)
1F241,tens,(winner==4),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==4)
1F295,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <17 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,24/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <17 and winner_structure == 5 and winner_structure == 5)
1F296,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <16 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,19/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <16 and winner_structure == 5 and winner_structure == 5)
1F297,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <15 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,13/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <15 and winner_structure == 5 and winner_structure == 5)
1F543,tens,(winner_structure == 2),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner_structure == 2)
1F567,tens,(len(set(combo_digits)) < 5),Eliminate based on a custom tens-digit condition.,4/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) < 5)
1F579,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
1F582,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F583,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F587,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F589,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
1F590,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F594,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F595,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
1F596,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F601,tens,(len(set(combo_digits)) == 5),Eliminate based on a custom tens-digit condition.,54/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) == 5)1F605,tens,(len(set(combo_digits).intersection(seed_digits)) > 3),Eliminate based on a custom tens-digit condition.,242/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) > 3)
1F611,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
1F613,tens,(len(set(combo_digits).intersection(seed_digits)) == 2),Eliminate based on a custom tens-digit condition.,13/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) == 2)
1F622,tens,(winner == 5),Eliminate if the tens sum equals 5.,2/311,keeper,Eliminate if condition holds: (winner == 5)
1F625,tens,(winner > 38),Eliminate if the tens sum is greater than 38.,0/311,keeper,Eliminate if condition holds: (winner > 38)
1F631,tens,(winner > 31),Eliminate if the tens sum is greater than 31.,0/311,keeper,Eliminate if condition holds: (winner > 31)
1F633,tens,(sum(d % 2 == 0 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 2)
1F637,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
1F639,tens,(winner > 35),Eliminate if the tens sum is greater than 35.,0/311,keeper,Eliminate if condition holds: (winner > 35)
1F642,tens,(winner > 36),Eliminate if the tens sum is greater than 36.,0/311,keeper,Eliminate if condition holds: (winner > 36)
1F645,tens,(winner > 37),Eliminate if the tens sum is greater than 37.,0/311,keeper,Eliminate if condition holds: (winner > 37)
1F650,tens,(winner < 12),Eliminate based on a custom tens-digit condition.,56/311,keeper,Eliminate if condition holds: (winner < 12)
1F654,tens,(winner < 13),Eliminate based on a custom tens-digit condition.,76/311,keeper,Eliminate if condition holds: (winner < 13)
1F660,tens,(winner < 8),Eliminate based on a custom tens-digit condition.,11/311,keeper,Eliminate if condition holds: (winner < 8)
1F663,tens,(winner < 9),Eliminate based on a custom tens-digit condition.,16/311,keeper,Eliminate if condition holds: (winner < 9)
1F667,tens,(winner > 35),Eliminate if the tens sum is greater than 35.,0/311,keeper,Eliminate if condition holds: (winner > 35)
1F669,tens,(winner > 39),Eliminate if the tens sum is greater than 39.,0/311,keeper,Eliminate if condition holds: (winner > 39)
1F676,tens,(winner < 12),Eliminate based on a custom tens-digit condition.,56/311,keeper,Eliminate if condition holds: (winner < 12)
1F688,tens,(winner > 37),Eliminate if the tens sum is greater than 37.,0/311,keeper,Eliminate if condition holds: (winner > 37)
1F690,tens,(winner > 38),Eliminate if the tens sum is greater than 38.,0/311,keeper,Eliminate if condition holds: (winner > 38)
1F698,tens,(winner > 30),Eliminate if the tens sum is greater than 30.,0/311,keeper,Eliminate if condition holds: (winner > 30)
1F701,tens,(winner > 29),Eliminate if the tens sum is greater than 29.,0/311,keeper,Eliminate if condition holds: (winner > 29)
1F703,tens,(winner > 27),Eliminate if the tens sum is greater than 27.,0/311,keeper,Eliminate if condition holds: (winner > 27)
1F705,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,15/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 2)
1F711,tens,(winner > 33),Eliminate if the tens sum is greater than 33.,0/311,keeper,Eliminate if condition holds: (winner > 33)
1F714,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
1F715,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
1F717,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
1F718,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,15/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 2)
1F719,tens,(len(set(combo_digits)) == 5 and max(combo_digits) - min(combo_digits) == 4 and len(set(combo_digits)) == 5),Eliminate if the spread (highest - lowest digit) is less than 4 and the tens sum equals 5.,3/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) == 5 and max(combo_digits) - min(combo_digits) == 4 and len(set(combo_digits)) == 5)
20F253,tens,(not (19<=winner<=25)),Eliminate based on a custom tens-digit condition.,234/311,keeper,Eliminate if condition holds: (not (19<=winner<=25))
20F259,tens,(not (11<=winner<=26)),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (not (11<=winner<=26))
20F261,tens,(winner<16 or winner>25),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (winner<16 or winner>25)
20F264,tens,(winner<12 or winner>25),Eliminate based on a custom tens-digit condition.,58/311,keeper,Eliminate if condition holds: (winner<12 or winner>25)
20F265,tens,(winner<11 or winner>26),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner<11 or winner>26)
20F268,tens,(winner<11 or winner>26),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner<11 or winner>26)
20F324,tens,(all(d<=4 for d in combo_digits)and winner_structure == 5),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (all(d<=4 for d in combo_digits)and winner_structure == 5)
20F563,tens,(len(set(combo_digits)) == 5 and len(set(combo_digits).intersection(seed_digits)) == 4),Eliminate based on a custom tens-digit condition.,20/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) == 5 and len(set(combo_digits).intersection(seed_digits)) == 4)
21F199,tens,"(not any(mirror.get(d,None) in combo_digits for d in seed_digits) and winner_structure == 5 and winner_structure == 5)",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((not any(mirror.get(d,None) in combo_digits for d in seed_digits) and winner_structure == 5 and winner_structure == 5))"
21F216,tens,(len(set(combo_vtracs))==5),Eliminate based on a custom tens-digit condition.,152/311,keeper,Eliminate if condition holds: (len(set(combo_vtracs))==5)
22F340,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<15 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,13/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<15 and winner_structure == 5 and winner_structure == 5)
22F357,tens,(prev_seed_sum > 20 and seed < 20 and winner < 20),Eliminate based on a custom tens-digit condition.,222/311,keeper,Eliminate if condition holds: (prev_seed_sum > 20 and seed < 20 and winner < 20)
23F282,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <20 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,30/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <20 and winner_structure == 5 and winner_structure == 5)
23F536,tens,((25 <= seed <= 33) and (0 <= winner <= 15)),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: ((25 <= seed <= 33) and (0 <= winner <= 15))
24F554,tens,"(not any(mirror.get(d,None) in combo_digits for d in combo_digits) and all(d % 2 == 1 for d in combo_digits))",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((not any(mirror.get(d,None) in combo_digits for d in combo_digits) and all(d % 2 == 1 for d in combo_digits)))"
